prompt_id,category,run_id,timestamp,model,source_index,url,domain,title,source_extraction_method
P01,Faktische Frage,P01_R01,2026-06-16T14:22:09.245727+00:00,gemini-3.1-flash-lite,0,https://www.ipcc.ch/report/ar6/wg1/,ipcc.ch,,text_regex
P01,Faktische Frage,P01_R01,2026-06-16T14:22:09.245727+00:00,gemini-3.1-flash-lite,1,https://www.nature.com/articles/d41586-022-04192-4,nature.com,,text_regex
P01,Faktische Frage,P01_R01,2026-06-16T14:22:09.245727+00:00,gemini-3.1-flash-lite,2,https://www.worldweatherattribution.org/,worldweatherattribution.org,,text_regex
P01,Faktische Frage,P01_R01,2026-06-16T14:22:09.245727+00:00,gemini-3.1-flash-lite,3,https://www.ipcc.ch/srocc/,ipcc.ch,,text_regex
P01,Faktische Frage,P01_R01,2026-06-16T14:22:09.245727+00:00,gemini-3.1-flash-lite,4,https://climate.nasa.gov/,climate.nasa.gov,,text_regex
P01,Faktische Frage,P01_R01,2026-06-16T14:22:09.245727+00:00,gemini-3.1-flash-lite,5,https://climate.copernicus.eu/,climate.copernicus.eu,,text_regex
P02,Faktische Frage,P02_R01,2026-06-16T14:22:28.389911+00:00,gemini-3.1-flash-lite,0,https://www.bmas.de/DE/Arbeit/Arbeitsrecht/Mindestlohn/mindestlohn.html,bmas.de,,text_regex
P02,Faktische Frage,P02_R01,2026-06-16T14:22:28.389911+00:00,gemini-3.1-flash-lite,1,https://www.zoll.de/DE/Privatpersonen/Arbeit/Mindestlohn/mindestlohn_node.html,zoll.de,,text_regex
P02,Faktische Frage,P02_R01,2026-06-16T14:22:28.389911+00:00,gemini-3.1-flash-lite,2,https://www.mindestlohn-kommission.de/DE/Bericht/bericht_node.html,mindestlohn-kommission.de,,text_regex
P03,Faktische Frage,P03_R01,2026-06-16T14:22:45.021119+00:00,gemini-3.1-flash-lite,0,https://www.statistik-berlin-brandenburg.de/publikationen/stat_berichte/2024/SB_A01-05-00_2023h02_BE.pdf,statistik-berlin-brandenburg.de,,text_regex
P04,Faktische Frage,P04_R01,2026-06-16T14:23:01.741747+00:00,gemini-3.1-flash-lite,0,https://www.bvg.de/de/tickets/abonnement/deutschlandsemesterticket,bvg.de,,text_regex
P04,Faktische Frage,P04_R01,2026-06-16T14:23:01.741747+00:00,gemini-3.1-flash-lite,1,https://www.stw.berlin/beratung/studienfinanzierung/semesterticket.html,stw.berlin,,text_regex
P04,Faktische Frage,P04_R01,2026-06-16T14:23:01.741747+00:00,gemini-3.1-flash-lite,2,https://www.berlin.de/sen/wissenschaft/aktuelles/pressemitteilungen/2024/pressemitteilung.1423639.php,berlin.de,,text_regex
P05,Prozedurale Frage,P05_R01,2026-06-16T14:23:19.883404+00:00,gemini-3.1-flash-lite,0,https://www.arbeitsagentur.de/familie-und-kinder/kindergeld-voraussetzungen,arbeitsagentur.de,,text_regex
P05,Prozedurale Frage,P05_R01,2026-06-16T14:23:19.883404+00:00,gemini-3.1-flash-lite,1,https://www.arbeitsagentur.de/familie-und-kinder/kindergeld-beantragen,arbeitsagentur.de,,text_regex
P05,Prozedurale Frage,P05_R01,2026-06-16T14:23:19.883404+00:00,gemini-3.1-flash-lite,2,https://www.arbeitsagentur.de/familie-und-kinder/formulare-kindergeld,arbeitsagentur.de,,text_regex
P05,Prozedurale Frage,P05_R01,2026-06-16T14:23:19.883404+00:00,gemini-3.1-flash-lite,3,https://www.arbeitsagentur.de/familie-und-kinder/familienkasse-finden,arbeitsagentur.de,,text_regex
P05,Prozedurale Frage,P05_R01,2026-06-16T14:23:19.883404+00:00,gemini-3.1-flash-lite,4,https://www.arbeitsagentur.de/familie-und-kinder,arbeitsagentur.de,,text_regex
P06,Prozedurale Frage,P06_R01,2026-06-16T14:23:38.151063+00:00,gemini-3.1-flash-lite,0,https://www.verbraucherzentrale.de/wissen/digitale-welt/mobilfunk-und-festnetz/handyvertrag-kuendigen-so-gehts-richtig-10837,verbraucherzentrale.de,,text_regex
P06,Prozedurale Frage,P06_R01,2026-06-16T14:23:38.151063+00:00,gemini-3.1-flash-lite,1,https://www.bundesnetzagentur.de/DE/Vebrauchende/Telekommunikation/Vertrag/start.html,bundesnetzagentur.de,,text_regex
P06,Prozedurale Frage,P06_R01,2026-06-16T14:23:38.151063+00:00,gemini-3.1-flash-lite,2,https://www.gesetze-im-internet.de/tkg_2021/__56.html,gesetze-im-internet.de,,text_regex
P07,Prozedurale Frage,P07_R01,2026-06-16T14:24:01.492436+00:00,gemini-3.1-flash-lite,0,https://service.berlin.de/dienstleistung/120686/,service.berlin.de,,text_regex
P07,Prozedurale Frage,P07_R01,2026-06-16T14:24:01.492436+00:00,gemini-3.1-flash-lite,1,https://service.berlin.de/standorte/buergeramt/,service.berlin.de,,text_regex
P08,Aktuelles Thema,P08_R01,2026-06-16T14:24:22.790330+00:00,gemini-3.1-flash-lite,0,https://www.tankerkoenig.de/,tankerkoenig.de,,text_regex
P08,Aktuelles Thema,P08_R01,2026-06-16T14:24:22.790330+00:00,gemini-3.1-flash-lite,1,https://www.adac.de/verkehr/tanken-kraftstoff-antrieb/aktuelle-kraftstoffpreise/,adac.de,,text_regex
P08,Aktuelles Thema,P08_R01,2026-06-16T14:24:22.790330+00:00,gemini-3.1-flash-lite,2,https://www.mehr-tanken.de/,mehr-tanken.de,,text_regex
P09,Aktuelles Thema,P09_R01,2026-06-16T14:24:40.368298+00:00,gemini-3.1-flash-lite,0,https://www.filmstarts.de/kino/stadt/,filmstarts.de,,text_regex
P09,Aktuelles Thema,P09_R01,2026-06-16T14:24:40.368298+00:00,gemini-3.1-flash-lite,1,https://www.kino.de/kinoprogramm/,kino.de,,text_regex
P09,Aktuelles Thema,P09_R01,2026-06-16T14:24:40.368298+00:00,gemini-3.1-flash-lite,2,https://www.moviepilot.de/kinoprogramm,moviepilot.de,,text_regex
P10,Aktuelles Thema,P10_R01,2026-06-16T14:25:03.445365+00:00,gemini-3.1-flash-lite,0,https://www.bundesregierung.de/breg-de/aktuelles/bundeskanzler-scholz-zur-vertrauensfrage-2323554,bundesregierung.de,,text_regex
P10,Aktuelles Thema,P10_R01,2026-06-16T14:25:03.445365+00:00,gemini-3.1-flash-lite,1,https://www.tagesschau.de/inland/innenpolitik/scholz-minderheitsregierung-100.html,tagesschau.de,,text_regex
P10,Aktuelles Thema,P10_R01,2026-06-16T14:25:03.445365+00:00,gemini-3.1-flash-lite,2,https://www.zdf.de/nachrichten/politik/deutschland/haushalt-2025-ampel-aus-union-scholz-100.html,zdf.de,,text_regex
P10,Aktuelles Thema,P10_R01,2026-06-16T14:25:03.445365+00:00,gemini-3.1-flash-lite,3,https://www.bundespraesident.de/SharedDocs/Berichte/DE/Frank-Walter-Steinmeier/2024/11/241107-Entlassung-Ernennung-Bundesminister.html,bundespraesident.de,,text_regex
P10,Aktuelles Thema,P10_R01,2026-06-16T14:25:03.445365+00:00,gemini-3.1-flash-lite,4,https://www.bundesregierung.de,bundesregierung.de,,text_regex
P10,Aktuelles Thema,P10_R01,2026-06-16T14:25:03.445365+00:00,gemini-3.1-flash-lite,5,https://www.tagesschau.de,tagesschau.de,,text_regex
P10,Aktuelles Thema,P10_R01,2026-06-16T14:25:03.445365+00:00,gemini-3.1-flash-lite,6,https://www.zdf.de/nachrichten,zdf.de,,text_regex
P01,Faktische Frage,P01_R01,2026-06-16T14:30:10.282949+00:00,gemini-3.1-flash-lite,0,https://www.ipcc.ch/report/ar6/wg1/,ipcc.ch,,text_regex
